"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA06_101: Total number of occupied private dwellings by housing tenure - 20% sample data","v_CA06_102: Owned","v_CA06_103: Rented","v_CA06_109: Total number of occupied private dwellings by period of construction - 20% sample data","v_CA06_110: Period of construction, before 1946","v_CA06_111: Period of construction, 1946 to 1960","v_CA06_451: Total - Mobility status 1 year ago - 20% sample data","v_CA06_453: Movers","v_CA06_454: Non-migrants","v_CA06_455: Migrants","v_CA06_456: Internal migrants","v_CA06_457: Intraprovincial migrants","v_CA06_458: Interprovincial migrants","v_CA06_459: External migrants","v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1240: University certificate, diploma or degree","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1254: University certificate, diploma or degree","v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data","v_CA06_1268: University certificate, diploma or degree","v_CA06_1302: Total population by visible minority groups - 20% sample data","v_CA06_1303: Total visible minority population","v_CA06_1583: Median income $","v_CA06_1988: Household income in 2005 of private households - 20% sample data","v_CA06_1989: Under $10,000","v_CA06_1990: $10,000 to $19,999","v_CA06_1991: $20,000 to $29,999","v_CA06_1992: $30,000 to $39,999","v_CA06_1993: $40,000 to $49,999","v_CA06_1994: $50,000 to $59,999","v_CA06_1995: $60,000 to $69,999","v_CA06_1996: $70,000 to $79,999","v_CA06_1997: $80,000 to $89,999","v_CA06_1998: $90,000 to $99,999","v_CA06_1999: $100,000 and over","v_CA06_2000: Median household income $","v_CA06_2048: Total number of non-farm, non-reserve private dwellings occupied by usual residents - 20% sample data","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings","v_CA06_2050: Average gross rent $","v_CA06_2051: Tenant-occupied households spending 30% or more of household income on gross rent","v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2054: Average value of dwelling $","v_CA06_2055: Average owner major payments $","v_CA06_2056: Owner households spending 30% or more of household income on owner's major payments"
"152","9330143.04","CT","Richmond",1.30406,5677,1762,1722,"59933","59","5915015","5915",1720,1540,175,1720,15,60,5640,835,560,275,200,160,40,75,980,210,3170,1450,675,160,5675,4110,18671,1725,65,160,165,130,140,150,150,120,95,75,460,62524,1725,180,1302,105,1540,567722,1133,465
"153","9330144.03","CT","Richmond",0.69654,2143,680,659,"59933","59","5915015","5915",655,550,105,655,10,85,2135,290,170,120,45,35,10,70,280,25,1255,350,205,50,2135,1410,27351,655,25,20,25,80,60,70,20,35,35,35,230,76516,655,105,1187,55,550,494236,1408,145
"154","9330144.04","CT","Richmond",1.30992,5515,2039,1976,"59933","59","5915015","5915",1975,1260,715,1975,15,180,5345,745,450,300,185,145,40,110,775,95,3015,1325,740,110,5390,3185,22360,1975,85,210,245,255,220,135,115,150,95,105,350,48541,1970,710,908,245,1260,393525,1122,390
"155","9330144.05","CT","Richmond",0.65553,2332,827,796,"59933","59","5915015","5915",795,635,165,795,10,80,2315,210,170,45,30,20,10,10,300,70,1330,535,420,120,2330,1580,18983,795,15,65,75,125,80,80,50,60,60,40,145,55091,795,160,1221,100,635,528832,939,165
"156","9330144.06","CT","Richmond",1.3287,5149,1605,1579,"59933","59","5915015","5915",1585,1355,230,1585,0,135,5090,670,440,225,145,135,10,75,750,95,2900,1015,585,105,5145,3355,23133,1585,65,65,90,160,135,155,185,125,110,105,395,66464,1585,230,1094,60,1350,466279,1240,360
"157","9330145.00","CT","Richmond",2.71145,7615,2406,2350,"59933","59","5915015","5915",2350,2085,270,2350,40,120,7545,1095,600,495,190,150,40,305,1260,245,4300,2070,970,275,7605,5385,18122,2350,195,190,185,215,165,220,135,130,170,135,605,60031,2350,265,1061,115,2080,529503,1174,665
"158","9330146.00","CT","Richmond",4.76167,6103,2030,1960,"59933","59","5915015","5915",1960,1490,465,1960,25,150,6015,860,570,290,175,110,65,115,835,110,3460,1060,710,140,6095,3845,24807,1960,85,130,150,140,180,210,175,155,135,110,490,64590,1960,465,1132,170,1490,452313,1164,430
"159","9330147.01","CT","Richmond",2.71228,6447,2540,2302,"59933","59","5915015","5915",2300,1935,365,2300,15,35,6370,2505,1205,1300,1070,935,135,225,940,200,4100,1790,445,100,6425,5315,15471,2300,310,265,275,200,210,185,170,155,135,65,320,43684,2300,365,1171,150,1935,437300,1178,930
"160","9330147.04","CT","Richmond",0.31254,5383,2413,2329,"59933","59","5915015","5915",2330,1710,615,2330,0,0,5340,1155,795,360,220,205,10,145,640,155,3235,1480,815,140,5385,3880,20073,2330,235,270,315,235,285,240,185,125,165,90,175,42128,2330,615,933,245,1710,274573,929,625
"161","9330147.05","CT","Richmond",0.32723,4092,1658,1547,"59933","59","5915015","5915",1545,1110,440,1545,0,10,4045,900,475,420,245,180,60,175,580,160,2535,1205,390,70,4090,3445,16030,1550,75,260,250,180,235,100,80,95,70,55,145,40598,1545,440,1039,245,1105,306208,1013,455
