"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"113","5350101.00","CT","Toronto",0.43014,3092,1620,1414,"35535","35","3520005","3520","0.452",580,58.6,850,0,1608,600758,1003,1672,603264,1015
"114","5350102.01","CT","Toronto",0.22027,1516,666,644,"35535","35","3520005","3520","0.321",340,45.6,290,0,901,551585,1230,1336,590620,1216
"115","5350102.02","CT","Toronto",0.11566,4301,2693,2566,"35535","35","3520005","3520","0.26899999999999996",160,37.5,2405,16.6,808,349812,1198,1244,312316,1164
"116","5350102.03","CT","Toronto",0.13087,3121,1776,1733,"35535","35","3520005","3520","0.326",145,48.3,1585,0,992,499758,1206,1709,493330,1210
"117","5350103.00","CT","Toronto",0.83794,5985,2681,2558,"35535","35","3520005","3520","0.207",1820,46.7,740,5.4,1093,599548,1249,1556,613888,1282
"118","5350104.00","CT","Toronto",0.73732,5314,2155,2066,"35535","35","3520005","3520","0.285",1515,55.4,550,0,1502,697213,1052,1702,710749,1098
"119","5350105.00","CT","Toronto",0.55453,4537,1939,1822,"35535","35","3520005","3520","0.371",1125,56.9,695,0,1380,548984,1024,1429,542647,1089
"120","5350106.00","CT","Toronto",1.37076,3880,1418,1316,"35535","35","3520005","3520","0.32899999999999996",980,76,345,18.8,1640,398287,986,1516,417016,934
"121","5350107.00","CT","Toronto",0.71899,5873,1976,1916,"35535","35","3520005","3520","0.29600000000000004",1395,59.9,520,4.8,1232,349824,900,1262,381728,917
"122","5350108.00","CT","Toronto",0.73607,6137,2641,2484,"35535","35","3520005","3520","0.33399999999999996",1195,64.9,1290,47.3,1430,360241,701,1304,402078,639
"123","5350109.00","CT","Toronto",0.62602,4953,2085,1968,"35535","35","3520005","3520","0.34700000000000003",1225,66.1,745,6,1514,400664,1099,1430,484164,1067
