"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","NHS Non Return Rate","v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)"
"119","9330100.01","CT","North Vancouver",0.97053,4025,1657,1597,"59933","59","5915051","5915","0.27699999999999997",930,57,665,15.7,1412,800588,1023,1610,833369,1166
"120","9330100.02","CT","North Vancouver",2.91199,6915,3306,3134,"59933","59","5915051","5915","0.243",1805,59.3,1335,7.1,1160,696453,1001,1423,659410,1138
"121","9330101.03","CT","North Vancouver",0.33857,5200,3381,3236,"59933","59","5915051","5915","0.313",1385,56.7,1850,4.9,926,376496,996,1128,408936,1037
"122","9330101.04","CT","North Vancouver",0.30207,3756,2213,2066,"59933","59","5915051","5915","0.35200000000000004",840,54.5,1225,4.5,1072,401320,1027,1251,474282,1121
"123","9330101.05","CT","North Vancouver",0.58813,4526,2311,2189,"59933","59","5915051","5915","0.284",1240,59.7,945,6.3,1117,484513,1026,1277,552731,1153
"124","9330101.06","CT","North Vancouver",0.42324,4319,2953,2579,"59933","59","5915051","5915","0.28",1295,69.1,1285,30.1,1355,470109,1127,1453,521900,1088
"125","9330102.00","CT","North Vancouver",2.84158,5732,2189,2092,"59933","59","5915051","5915","0.308",1345,69.6,575,29.8,1526,584949,1242,1624,642006,1268
"126","9330103.00","CT","North Vancouver",1.34072,6920,3480,3339,"59933","59","5915051","5915","0.335",1710,61.4,1625,5.2,1080,601150,980,1417,610360,1082
"127","9330104.00","CT","North Vancouver",2.41356,7377,2889,2728,"59933","59","5915051","5915","0.258",1830,55.6,895,9.5,1373,848257,1102,1574,840929,1287
"128","9330110.02","CT","North Vancouver",2.21469,3168,1129,1111,"59933","59","5915046","5915","0.262",1010,56.4,85,0,1365,873697,1497,1600,901102,1466
"129","9330110.03","CT","North Vancouver",38.8455,2983,1228,1158,"59933","59","5915046","5915","0.306",990,57.1,160,30.3,1055,898447,1048,1733,985456,1055
"130","9330110.04","CT","North Vancouver",1.49981,4561,1556,1530,"59933","59","5915046","5915","0.233",1260,58.3,275,47.3,1550,848374,1118,1791,891081,1237
"131","9330111.01","CT","North Vancouver",4.46,5932,2365,2288,"59933","59","5915046","5915","0.3",1120,54.5,455,15.4,1311,774935,1235,1498,736540,1299
"132","9330111.02","CT","North Vancouver",32.63457,7450,2723,2686,"59933","59","5915046","5915","0.244",2415,51.3,270,24.1,1177,850454,1177,1634,908644,1141
"133","9330111.03","CT","North Vancouver",24.55313,4108,1592,1552,"59933","59","5915046","5915","0.33799999999999997",1340,68.7,190,17.9,1637,527649,1406,1617,562690,1416
"134","9330112.00","CT","North Vancouver",1.06754,2733,1145,1086,"59933","59","5915046","5915","0.213",835,47,260,7.7,758,801427,1246,1439,803191,1189
"135","9330113.00","CT","North Vancouver",2.95841,7570,2975,2863,"59933","59","5915046","5915","0.258",1875,60,985,37.6,1377,789720,1036,1625,725621,1053
"136","9330114.01","CT","North Vancouver",1.70479,2955,996,963,"59933","59","5915046","5915","0.213",840,60.1,105,0,1691,850283,1054,1680,845027,1025
"137","9330114.02","CT","North Vancouver",2.02093,5155,1885,1777,"59933","59","5915046","5915","0.256",1525,52.1,255,11.8,1235,848299,1214,1567,846381,1226
"138","9330115.00","CT","North Vancouver",4.79478,5714,2097,1995,"59933","59","5915046","5915","0.231",1560,58.8,430,3.5,1574,799932,1317,1627,748367,1334
"139","9330116.00","CT","North Vancouver",16.10803,5277,1956,1840,"59933","59","5915046","5915","0.233",1460,51,380,0,1342,1000854,1403,1754,1067014,1513
"140","9330117.00","CT","North Vancouver",2.38266,5996,2258,2151,"59933","59","5915046","5915","0.26899999999999996",1780,39.3,370,0,775,1000285,995,1542,978615,1186
"141","9330118.00","CT","North Vancouver",3.55455,7436,3350,3205,"59933","59","5915046","5915","0.228",2310,57.1,895,11.7,1077,698604,1202,1540,734460,1240
"142","9330119.00","CT","North Vancouver",1.34404,2261,895,845,"59933","59","5915046","5915","0.284",690,43.5,145,0,993,948676,1837,1563,1009587,1624
"143","9330120.00","CT","North Vancouver",2.36858,3926,1409,1378,"59933","59","5915046","5915","0.17800000000000002",1220,40.2,150,0,837,1000947,2203,1551,1001468,2021
"144","9330121.00","CT","North Vancouver",1.85344,4543,1571,1490,"59933","59","5915046","5915","0.226",1370,54.5,120,0,1561,1002214,1208,1813,1107494,1475
"145","9330122.00","CT","North Vancouver",20.57512,4223,1424,1395,"59933","59","5915046","5915","0.32299999999999995",1155,49.8,245,0,1045,1001767,1208,1810,1059919,1447
"146","9330130.01","CT","West Vancouver",0.88039,4388,2844,2597,"59933","59","5915055","5915","0.355",1490,20.1,1115,0,746,801803,1377,1078,1005258,1537
"147","9330130.03","CT","Capilano 5",1.50249,4552,2618,2427,"59933","59","5915808","5915","0.34600000000000003",1290,27.9,1140,18,725,697816,1128,1157,887541,1311
"148","9330130.04","CT","Capilano 5",1.79039,2700,1375,1316,"59933","59","5915808","5915","0.33",0,0,0,0,0,0,0,0,0,0
"149","9330131.00","CT","West Vancouver",3.37004,7174,2777,2567,"59933","59","5915055","5915","0.289",2070,46.1,495,35,942,1349851,1004,1796,1393534,1427
"150","9330132.00","CT","West Vancouver",3.30046,3732,1413,1327,"59933","59","5915055","5915","0.336",1245,41,75,0,1225,1701320,2031,2343,2116278,2165
"151","9330133.01","CT","West Vancouver",3.91186,3642,1559,1431,"59933","59","5915055","5915","0.301",1230,45.9,185,0,1313,1104644,1824,1929,1438169,1995
"152","9330133.02","CT","West Vancouver",36.98253,6333,2385,2268,"59933","59","5915055","5915","0.28",2170,43.1,110,0,1079,1301089,1906,2000,1433121,2061
"153","9330134.00","CT","West Vancouver",15.2026,7634,3149,2705,"59933","59","5915055","5915","0.276",2365,39.5,335,0,1153,1703466,1607,2158,1895582,1993
